CONTENT,RATING,label
盲目偏执的立场和永无休止的斗争让信仰成为歧路。真诚，包容与爱是救赎的希望。,5,1
在我们听见一条新闻，破口大骂的同时，另一个家庭却承受着难以想象的痛苦！影片用另一种角度，讲述了一个大家熟知的事件，没有愤怒，只有悲伤！今天看的两部电影都让我心情沉重，因为生活无法预料，可能好事连篇，也有可能祸不单行，去解决，去体谅！不要随便的去评价他人，不要随意的抱怨生活！,5,1
财前部长总是用宏观的角度发展的眼光看问题，有决断力有魄力，在帝国重工干太埋没他了，他适合一个更大的平台，像这种做大事的人老国企的腐朽只会拖了他的后退,5,1
多一些这种电视节目，世界将会变成美好的人间。,5,1
或许是另一种语词的自由实践,5,1
我的天呐节奏很好啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈没想到哈哈哈哈哈哈哈哈哈哈哈什么鬼SAE参演了一个BL剧哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死,5,1
难忘两个人最后的相望,5,1
妈呀每个人都好可爱好可爱好可爱！！！以后知道了，讲出优点不算啥，而是明明了解那么多缺点却义无反顾的去爱！！！,5,1
不认真看看得很晕的电影。,5,1
少年版的《肖申克的救赎》，受尽校长（监狱长）的百般折磨，被人凌辱，因天资聪慧而被选去干文职工作，最后逃跑的时候也放了一段音乐，故事的结局都是相对比较美满的。,5,1
不能明白女主为什么最后还是要选择死,5,1
高中时的男神和女神之一,5,1
拥有美好的回忆，在到达天堂之前。,5,1
比诺什真的没有演过烂片真实是她作为演员的信条值得重刷的片,5,1
什么时候，学校暴力，教师暴力才能消失,5,1
为封面看了电影,5,1
像不像立秋哦,5,1
这么好的武侠电影真是看一部少一部，意境一级棒。古龙的小说，邵氏的电影，绝配！,5,1
没想到中央6会放这种电影--尽管删减了---爱死霸气的张艾嘉了--刘同学很惊艳---很文艺--很有爱---,5,1
许多年前在电影频道的惊鸿一瞥，以致我多年念念不忘，一直在寻找粤语版，有幸，昨天有人给我发了粤语版，终于看上了，不负我多年期待。可怜天下父母心，张艾嘉的妈妈演得入木三分，但是我更爱刘玉翠的欣欣，当年的金像奖最佳新人、女配实至名归。,5,1
"""我的宇宙里为你藏匿了无数颗温柔星球，其中一颗是拯救。""",5,1
刚在cctv6看了，这母女两演的太好了，那个年代的港片真的不错。很喜欢，或许我真的老了，开始喜欢这种关注亲情的电影。,5,1
看得太压抑,5,1
江湖人的谈判方式，干净利落回味无穷,5,1
六一早上，边吃油条醮酱油，边在电影频道看的。很喜欢小雨！,5,1
那个年代能有如此有情调气氛的武侠片实在不错!,5,1
最心痛的是根据真实事件改编，这么恶毒的事情居然真的发生过，想想就心痛，恶魔在人间。弟弟像宇航员般纵身一跃，太触动人心了。,5,1
世界上的事不是非黑即白，大多数都是没有结果不了了之。最怕根据真实事件改变。因为可能真实的比电影还要可怕。,5,1
古龙的对白真的酷,5,1
8.5/10 根据真实故事改编，其实真的不愿多看这样题材的电影，因为实在让人心塞。总有一天，这个世界会变得更好还是更坏，终究还是一个问号。只是希望这个世界光明总能多过黑暗。,5,1
小男孩的演技太好了！面对这个世界的恶，他们用坚强的反抗精神拯救了自己。,5,1
波洛和黑斯廷斯看侦探剧的那段应该是把原着《哑证人》的情节搬到了这里。这部应该是S1中和后期风格较为接近的一集，案发过程和破案思路都很清晰，虽然还是有明显的拖时间痕迹，而拖时间最佳招数就是来场追逐战。,5,1
难以想象杨永信的学校里面发生过多少事情。,5,1
居然是89年拍的？？,5,1
狂人即天使。安魂曲起了好几拨鸡皮疙瘩。哎，明知不是这个世界的人，为何还要收下那一百块……（小米太瘦小了）,5,1
米Flo10版官摄。这版的姐姐康康阿洛估计难以超越了。Claire被单歌的又甜又娇，Melissa冰棒歌的空灵飘渺，让19巡演的两版康洛都略显平庸。,5,1
我爱法剧！！！我爱flo！！！,5,1
蹦蹦跳跳的小米，嗓音特别好听的萨列里，现场气氛超级嗨，是一次还不错的法语音乐剧体验,5,1
好想去看现场哦！,5,1
不仅音乐给力，剧情也非常感染人,5,1
被姐妹拉着看 一不小心居然感觉自己要入坑了 🐮🍺,5,1
曾经的法扎🦹🏼♀️😘😘,5,1
看完就是，心情愉悦,5,1
震撼，虽然通俗化了，但是真的舞美故事节奏音乐和演员都没得挑，明年还来巡演吗?现场要再看一看~,5,1
大爱米老师！！,5,1
爱死小米了，好可爱啊，太有魅力了！好看好听，很喜欢吼叫信、纹我、自己胜利的牺牲品。如果剧情再饱满一点就好了。,5,1
坚持自己的信仰，面对上帝的时候，才是最清白的自己。,5,1
85/100 “我不行恶事、我不出恶言、我不作恶想，如果这还不足以保全一个人的性命，那么我诚恳的说，我无权再活下去。”——恶法就是如此荒谬又经不起推敲和逻辑的审视，这也是一切窃取了立法权的政府不敢让人民了解法律，漠视自主思考和逻辑学教育的原因。,5,1
因为看狼厅在前，前半部都很难认同托马斯·莫尔，特别是他的观点我也不赞同。但是后半部从他进塔，到审讯，探视，审判，陈词，赴死，纯粹要忠实于自己灵魂，爱重你所以希望你理解我，以及令人愉悦的法庭辩论，虽然从叙事结构上看很奇怪，但确实改变了我心之所向。探视一段哭得好凶。,5,1
大牌云集的片子不少，为数人头看过但是没有其他意义的也不少。其实这片我认识的人头没几个（眼太浅），可那些老戏骨们的表演太震撼了！从大法官到大法官太太，教皇国王，每个人都安排的好到位！除了崇拜再崇拜真的不知道说什么了……,5,1
金尼曼真够狠的，剪得一点肥肉都没有，佩服；宗教不应过度解读，作为象征性符号，是托马斯立论的起点；规则是维护现有制度的工具，不能代替制度本身，制度是最高规则，颠复了制度，规则无从谈起，因此维护制度是规则正当性的体现，亨利八世作为制度维护者，自然要修改规则,5,1
@phenomena 4K修复版。对于灵魂与信仰纯粹的、绝对的忠诚。,5,1
这片子太对我胃口啦，男主神似汤甜，剧情很黑暗有些镜头很血腥，结局高亮。,5,1
太牛逼了！硬核、血腥、暴力，雷·沃纳尔的剧本依旧牛逼，导演水平也终于逆袭了。,5,1
感觉这片子票房会爆，有太多东西可说了，惊喜！,5,1
设定帅炸，如此小成本的电影居然还能如此天马行空，导演真的功不可没，动作场面搭配炫酷的视听语言简直是帅炸，好看到丧失理性！,5,1
跨越三十年的丽芙、厄兰、伯格曼。,5,1
早期芭比系列歌怒赞呜呜,5,1
某些唱段都能熟到背下来,5,1
这部还阔以,5,1
真假公主最好看，两个小猫很勇敢,5,1
